Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
2169,0,0,0,14.28857107,14.28857107,0,0,0,0,71.42285786,0,0,0,0,0,0.24
2170,0,0,0,0,14.28857107,0,14.28857107,0,0,71.42285786,0,0,0,0,0,0.24
2171,0,19.50000009,0,0,10.07999997,0,4.000000019,10.27000051,0,51.20999933,0,4.940000081,0,0,0,0.24
2172,0,14.28999976,0,5.82999984,5.119999812,0,4.969999719,9.640000205,0,60.15000067,0,0,0,0,0,0.24
2173,4.900000072,0,3.900000077,2.599999892,4.800000168,0,3.400000079,4.900000072,0,66.99999968,0,5.900000067,0,0,2.599999892,0.24
2174,20.21797786,7.0292974,0,0.129986999,0.969903055,0,1.029896999,19.17808282,0,51.34486486,0.099990004,0,0,0,0,0.24
2175,2.414671285,47.27458089,0,6.255730836,0,12.22618431,8.018339094,3.107488464,0,20.70300512,0,0,0,0,0,0.24
2176,13.06999998,7.929999998,2.010000034,0,0,0,0,0,0,67.41999962,0,4.06000003,0,5.510000347,0,0.24
2177,5.020000077,0,0,10.48999997,4.980000114,0,4.570000259,5.800000301,0,64.16999939,0,4.969999885,0,0,0,0.24
2178,14.40144008,1.740174065,0.840084001,8.650864894,0.070007003,0,12.03120312,0.320032003,3.320332039,58.6258628,0,0,0,0,0,0.24
2179,10.06000042,0,0,0,9.720000267,0,0,10.09000015,0,60.47999954,0,0,0,9.649999619,0,0.24
2181,13.91139059,5.640563764,0,0.030002999,0.10001,0,3.150315038,12.79127873,0,64.30643188,0.070006999,0,0,0,0,0.24
2182,0,0,0,0,3.669633035,0,0,23.00769897,0,73.322668,0,0,0,0,0,0.24
2183,4.920000074,0,0.059999999,0,4.880000112,0,9.4300003,5.980000016,0,63.47999951,0,11.24999999,0,0,0,0.24
2184,17.01000032,5.579999954,0,0.079999999,0.490000012,0,1.019999986,18.17000018,0,57.54999955,0.100000002,0,0,0,0,0.24
2185,0,10.30000029,0,0,0,0,0,9.100000468,0,80.59999924,0,0,0,0,0,0.24
