id,Glass_ID,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,TiO2,ZnO,SrO,ZrO2,SnO2,P2O5,value
8013,860464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
10090,143342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.300,0.000,0.000,74.700,0.3
12729,849941,0.000,0.000,38.000,0.000,57.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
14123,806893,0.000,0.000,4.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.000,0.3
22132,25288,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,0.3
25170,25706,50.100,10.800,0.000,0.000,0.000,0.000,0.000,39.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
27461,470143,0.000,83.820,0.000,0.000,0.000,16.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
34096,860992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.316,0.000,0.000,50.105,0.000,0.000,0.000,31.579,0.3
37581,138239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
38126,437743,0.000,0.000,0.000,0.000,0.000,52.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.700,0.3
39227,146426,58.566,22.022,2.000,0.000,0.000,0.000,0.000,0.000,14.711,0.000,2.700,0.000,0.000,0.000,0.000,0.3
46978,137747,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
48360,28059,0.000,84.500,0.000,0.000,0.000,0.000,0.000,0.000,15.500,0.000,0.000,0.000,0.000,0.000,0.000,0.3
49837,28060,0.000,82.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
50157,219903,7.900,0.000,27.100,6.900,58.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
53620,419239,0.000,81.400,0.000,0.000,0.000,0.000,0.000,0.000,18.600,0.000,0.000,0.000,0.000,0.000,0.000,0.3
55536,779152,0.000,94.800,0.000,0.000,0.000,0.000,0.000,5.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
58097,419238,0.000,82.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
65543,143336,0.000,0.000,0.000,0.000,0.000,40.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.600,0.3
71781,143331,0.000,0.000,0.000,0.000,0.000,52.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.700,0.3
78514,444495,60.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
87724,419240,0.000,79.500,0.000,0.000,0.000,0.000,0.000,0.000,20.500,0.000,0.000,0.000,0.000,0.000,0.000,0.3
94263,701050,7.900,0.000,27.100,6.900,58.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
94971,135547,0.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,35.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
99084,835400,0.000,94.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
100037,407931,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,0.3
102944,244806,0.000,49.000,0.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.3
106421,437745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.300,0.000,0.000,74.700,0.3
109551,477255,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
114054,452433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
117141,474523,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
124872,441105,46.670,20.000,0.000,0.000,0.000,0.000,0.000,33.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
125132,474361,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
125243,860991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.839,0.000,0.000,48.682,0.000,0.000,0.000,32.479,0.3
130962,419237,0.000,84.500,0.000,0.000,0.000,0.000,0.000,0.000,15.500,0.000,0.000,0.000,0.000,0.000,0.000,0.3
133338,28061,0.000,81.400,0.000,0.000,0.000,0.000,0.000,0.000,18.600,0.000,0.000,0.000,0.000,0.000,0.000,0.3
140589,763522,0.000,0.000,0.000,0.000,0.000,23.505,0.000,0.000,23.505,0.000,0.000,0.000,0.000,0.000,52.990,0.3
147240,28062,0.000,79.500,0.000,0.000,0.000,0.000,0.000,0.000,20.500,0.000,0.000,0.000,0.000,0.000,0.000,0.3
152608,437742,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
153880,306829,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.316,0.000,0.000,50.105,0.000,0.000,0.000,31.579,0.3
160147,439417,0.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,35.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
166644,441107,53.335,13.331,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
169594,452432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
170608,143330,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
172545,306828,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.839,0.000,0.000,48.682,0.000,0.000,0.000,32.479,0.3
174260,437727,0.000,0.000,0.000,0.000,0.000,40.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.600,0.3
178423,258682,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
107091,887111,0.000,42.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.900,0.000,0.000,0.000,0.000,0.3
101702,439218,0.000,0.000,0.000,0.000,0.000,4.980,14.960,0.000,34.960,0.000,0.000,0.000,0.000,0.000,45.100,0.299
198013,881514,0.000,50.000,0.000,0.000,0.000,0.000,35.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.299
181903,493243,0.000,59.100,9.100,0.000,0.000,0.000,31.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.299
10743,496543,0.000,21.370,1.511,0.000,0.000,0.000,0.000,0.000,38.308,0.000,0.000,0.000,0.000,0.000,38.812,0.298658
44633,586897,60.000,0.000,0.000,10.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.298643
53664,439236,0.000,0.000,0.000,9.910,0.000,0.000,20.050,0.000,29.980,0.000,0.000,0.000,0.000,0.000,40.060,0.298
62930,470141,0.000,87.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.298
108152,551984,1.230,0.000,39.510,0.000,59.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.298
